DataR,DataI,y
-7.1294768,-18.1301152,-1
-8.884976,-14.8656192,-1
-4.6829372,-19.0104704,-1
-6.6753608,-17.022436799999998,-1
-3.8296395999999997,-18.553296,-1
-3.6828212,-18.568448,-1
-7.517836,-18.0171264,-1
-7.0741119999999995,-20.5994976,-1
-8.630784799999999,-18.165283199999998,-1
-7.8757719999999996,-14.7142656,-1
-5.6530808,-18.1237888,-1
-6.734611999999999,-18.593659199999998,-1
-6.103848,-15.66204,-1
-5.9451472,-15.532113599999999,-1
-8.7277728,-17.9599024,-1
-4.7666932,-17.588086399999998,-1
-5.26519,-18.387409599999998,-1
-8.5274656,-17.0179696,-1
-7.4484232,-17.6508848,-1
-8.1512248,-16.8342816,-1
-6.4335428,-19.722168,-1
-5.8451748,-20.7373776,-1
-4.0462336,-15.7053008,-1
-8.0989656,-17.2675152,-1
-8.227268,-21.224635199999998,-1
-7.2264576,-17.5024592,-1
-7.0424976,-16.6717104,-1
-6.9973512,-17.770411199999998,-1
-8.7074392,-20.286472,-1
-8.272289599999999,-17.079755199999997,-1
-4.7929964,-15.826032,-1
-6.1730832,-17.4762496,-1
-7.28424,-15.9290688,-1
-3.9352684,-18.4172112,-1
-7.1179608,-16.9852992,-1
-3.6038835999999996,-15.0544608,-1
-5.2139508,-16.057180799999998,-1
-4.529698,-17.154024,-1
-4.3366608,-17.1805312,-1
-4.8796424,-18.8544912,-1
-4.803948,-15.863889599999998,-1
-7.104912799999999,-17.9483712,-1
-5.9231824,-19.897764799999997,-1
-6.289213999999999,-18.9466528,-1
-7.2596072,-17.861865599999998,-1
-6.2659248,-17.366751999999998,-1
-6.8057799999999995,-14.5106256,-1
-5.6681376,-18.2090848,-1
-6.9713368,-17.2916848,-1
-5.8264688,-14.5996176,-1
-6.6960467999999995,-20.2231232,-1
-5.5339728,-16.1041968,-1
-7.3008983999999995,-17.2072656,-1
-6.960336799999999,-19.999606399999998,-1
-6.9275632,-17.404624,-1
-6.0527216,-20.763655999999997,-1
-7.0265616,-16.996102399999998,-1
-4.2967432,-17.353340799999998,-1
-0.6624036,-9.1457192,-1
-4.631406,-18.915046399999998,-1
-6.9950904,-19.8114656,-1
-5.7833776,-17.8718352,-1
-6.5817,-19.1800176,-1
-4.61878,-17.5328592,-1
-7.139027199999999,-19.5458096,-1
-5.5061864,-15.788323199999999,-1
-7.8664504,-16.8164208,-1
-7.046264,-18.1868128,-1
-6.0475556,-15.454708799999999,-1
-6.5191504,-16.5320224,-1
-1.7704753999999998,-13.3751248,-1
3.405008,-13.3015584,-1
-5.6122156,-17.3943632,-1
-4.817033599999999,-16.5013488,-1
-7.471902399999999,-19.369574399999998,-1
-7.938571199999999,-20.150064,-1
-6.3142552,-18.2817504,-1
-6.4967384,-17.528399999999998,-1
-4.793745599999999,-17.7805824,-1
-5.8633036,-17.1395072,-1
-5.8591152,-19.331184,-1
-7.3739864,-17.9432528,-1
4.6545124,-17.8419488,-1
-8.9006992,-19.0104288,-1
-6.394328,-17.8446112,-1
-5.44084,-17.64196,-1
-4.57165,-18.5760752,-1
-7.3678216,-17.423284799999998,-1
-6.7516224,-18.2808736,-1
-5.7574388,-16.3273696,-1
-5.1672123999999995,-17.9493072,-1
-5.7756028,-17.4721376,-1
-5.982342399999999,-17.3762816,-1
-8.1717656,-18.735313599999998,-1
-5.0326059999999995,-17.621527999999998,-1
-7.771832,-19.4642672,-1
-4.1979768,-17.0281728,-1
-5.850181999999999,-18.5165008,-1
-7.3425696,-18.9435872,-1
-6.169618,-18.114524799999998,-1
-6.9558392,-16.0321536,-1
-6.4079416,-15.930848,-1
-7.0577672,-17.959208,-1
-5.5462072,-18.627649599999998,-1
-4.964496,-15.927089599999999,-1
-5.9019656,-18.4948816,-1
-7.0707944,-19.131672,-1
-6.967472,-17.5108496,-1
-6.4636624,-18.2227232,-1
-5.860173199999999,-19.9760608,-1
-6.9796607999999996,-19.0682272,-1
-7.6529536,-16.789510399999998,-1
-6.1635083999999996,-16.174623999999998,-1
-9.6154576,-17.576128,-1
-4.1045904,-15.0610368,-1
-5.5759316,-16.335268799999998,-1
-5.7192712,-18.9295792,-1
-6.4576188,-16.337873599999998,-1
