DataR,DataI,y
-2.4390828,-6.6868624,-1
-3.2280607999999997,-8.665224,-1
-1.0299136,-7.665328799999999,-1
-1.26475,-8.3170872,-1
-4.283008,-9.3727752,-1
-5.6854756,-8.5446008,-1
-1.895667,-8.144989599999999,-1
-3.9556156,-6.2445584,-1
-5.0159224,-8.125052799999999,-1
-5.1112779999999995,-6.215186,-1
-3.166836,-8.075384,-1
-3.9752311999999996,-8.629610399999999,-1
-1.3150686,-8.812075199999999,-1
-2.6344732,-10.2237768,-1
-1.9526514,-8.3652448,-1
-2.0376988,-9.5561496,-1
-4.005863199999999,-5.4175748,-1
-0.3487167,-8.2704296,-1
-1.7771261999999999,-7.5009103999999995,-1
-3.1865023999999997,-6.0035504,-1
-0.6768514999999999,-8.229376799999999,-1
-5.1314284,-8.3239472,-1
-0.8447351999999999,-7.9345624,-1
-2.6692744,-10.0170344,-1
-3.0575698,-7.581388,-1
-3.3506457999999997,-7.4546719999999995,-1
-1.9939711999999998,-8.5552768,-1
-2.6188886,-6.245537199999999,-1
-2.2914024,-6.393245599999999,-1
-3.1535538,-7.0971952,-1
-3.7485527999999997,-8.726604799999999,-1
-1.6932517999999999,-5.273759999999999,-1
-3.4678896,-6.131996,-1
-2.4090084,-7.4446672,-1
-0.6421701,-7.6214144,-1
-5.070981199999999,-6.5857176,-1
-3.1369203999999997,-7.3819608,-1
-2.902996,-8.0778944,-1
-1.7740297999999999,-7.1059111999999995,-1
-3.6542923999999997,-8.86526,-1
-1.8993879999999999,-9.2610888,-1
-6.2068948,-6.8442232,-1
-2.4858224,-6.6408928,-1
-3.1201391999999997,-7.0022264,-1
-3.3536379999999997,-7.7442264,-1
-2.7861528,-7.1032592,-1
-2.2847648,-7.0205648,-1
-4.2196048,-8.3273488,-1
-3.5316967999999997,-7.588672,-1
-3.8526984,-7.9183416,-1
-0.7083478,-6.364508,-1
-1.8234168,-5.9313384,-1
-2.2272955999999997,-6.925984799999999,-1
-3.8370876,-5.7275632,-1
-2.919504,-8.538746399999999,-1
-3.2251276,-6.3869495999999994,-1
-2.6044296,-6.6395968,-1
-1.9690471999999999,-7.941186399999999,-1
-4.538918799999999,-7.654765599999999,-1
-1.3269096999999999,-7.8228624,-1
-2.655672,-10.1257112,-1
-2.7898216,-6.3635924,-1
-3.4448908,-7.716552,-1
-5.3240944,-8.702199199999999,-1
-3.3562068,-6.172683999999999,-1
-3.9636288,-7.0063976,-1
-1.8813267999999999,-10.171811199999999,-1
1.7907828,-5.6997776,-1
-2.3162244,-11.6896952,-1
-1.2317704999999999,-7.0921672,-1
-2.5722262,-8.3246136,-1
-2.2136052,-7.500163199999999,-1
-2.3828488,-9.665881599999999,-1
-3.4712052,-7.903454399999999,-1
-0.6250761,-8.9590304,-1
-1.4343340999999998,-4.9057872,-1
-3.8553447999999997,-7.2441568,-1
-1.5509827999999999,-8.2407288,-1
-4.3081987999999996,-5.8550232,-1
-1.7307542,-7.114008,-1
-2.9951738,-8.520981599999999,-1
-5.6508128,-5.9662736,-1
0.9795604,-9.5404064,-1
-1.1003741999999999,-7.2422464,-1
-3.5545223999999997,-4.4798808,-1
-1.0269361,-5.5460487999999994,-1
-5.63608,-8.9247768,-1
-2.6989587999999998,-7.6769528,-1
-2.50512,-6.900364,-1
-4.8110504,-8.2215568,-1
-2.7328276,-8.995163999999999,-1
-2.6144711999999997,-8.7763552,-1
-2.7356119999999997,-9.2480608,-1
-3.038586,-7.405185599999999,-1
-1.7268918,-7.616680799999999,-1
-0.8332788999999999,-7.7795432,-1
-3.8620015999999997,-9.3004832,-1
-3.308299,-7.751553599999999,-1
-3.5825728,-8.844396,-1
-4.8234068,-9.2473952,-1
-0.8520765,-6.73766,-1
-1.8926915999999998,-5.7494292,-1
-2.59882,-6.1984411999999995,-1
-1.897489,-8.076076,-1
-4.4437424,-8.699104,-1
-3.2478084,-7.0174632,-1
-1.9006603999999998,-6.3357424,-1
-2.0976176,-6.464910799999999,-1
-2.531706,-10.5578848,-1
-6.9162392,-8.5755512,-1
-1.8072279999999998,-7.8515999999999995,-1
-3.5020344,-6.3056811999999995,-1
-2.7889163999999997,-6.5625288,-1
-2.7667044,-8.518364799999999,-1
-3.837554,-8.351997599999999,-1
-1.9218566,-7.942450399999999,-1
-0.66021,-7.7917944,-1
-4.721074,-7.6235631999999995,-1
-2.4147384,-6.3952656,-1
-3.4463944,-7.1874936,-1
-4.0452976,-5.379194399999999,-1
-4.1058156,-5.1949928,-1
-4.5125024,-7.4194271999999994,-1
-1.9917958,-6.519515999999999,-1
-4.0808956,-7.2677552,-1
-0.9217369,-7.7019272,-1
-0.8866014999999999,-9.323426399999999,-1
-3.3819779999999997,-6.2310224,-1
-2.5852404,-6.067768399999999,-1
-3.1086392,-6.5599048,-1
-2.4803346,-6.283656,-1
-2.0175085999999998,-7.9792608,-1
-1.4434669999999998,-9.1774144,-1
