DataR,DataI,y
-1.72599,-8.2109408,-1
-1.5731065,-9.746861599999999,-1
-2.2368804,-7.0048487999999995,-1
-4.7151432,-7.6075048,-1
-2.7591324,-7.5922224,-1
-1.663271,-8.7619224,-1
-2.5530876,-6.1500352,-1
-1.3218923,-7.4961696,-1
-2.4430168,-7.5639312,-1
-4.213042,-9.8283168,-1
-2.8821399999999997,-9.7118216,-1
-1.4484276999999999,-7.7906688,-1
-4.3891816,-6.8698032,-1
-4.1327748,-6.6086516,-1
-3.3597023999999998,-8.2597504,-1
-4.294828,-5.6565128,-1
-3.7073684,-10.1359544,-1
-4.1145988,-7.9703864,-1
-2.5577791999999997,-6.7243952,-1
-1.3832573,-6.671024,-1
-0.8415944,-6.241782,-1
-1.0664095999999998,-8.5881856,-1
-2.7801296,-8.3853224,-1
-2.1332496,-5.40091,-1
-3.2409792,-9.4249104,-1
-1.9396651999999999,-5.0772808,-1
-2.3099376,-7.702259199999999,-1
-0.8021047,-8.4549264,-1
-3.0707142,-7.9943496,-1
-2.0209197999999997,-6.5815155999999995,-1
-3.1657159999999998,-8.3306792,-1
-1.649311,-7.9812264,-1
-0.320921,-8.3652872,-1
-4.575678,-8.6979568,-1
-5.355204,-6.8666816,-1
-2.6575576,-7.201796799999999,-1
-5.173246799999999,-6.5551248,-1
-2.9425928,-7.0937296,-1
-2.6256717999999997,-5.653618,-1
-2.80553,-7.330620799999999,-1
-3.1432176,-7.991823999999999,-1
-4.0544608,-7.305682399999999,-1
-4.063136,-6.026495199999999,-1
-4.7675548,-7.4567768,-1
-1.3166904,-7.0733568,-1
-1.2029551,-7.8849776,-1
-5.246179199999999,-7.901788799999999,-1
-0.7942574,-6.8419376,-1
-4.7846828,-6.4056932,-1
-2.1447062,-7.337309599999999,-1
-4.3773528,-9.415726399999999,-1
-4.1841479999999995,-5.7913136,-1
-4.7403904,-8.153364,-1
-1.5979858,-8.0698592,-1
-0.9488721,-7.948950399999999,-1
-1.6066083,-6.9140944,-1
-1.9857715999999999,-7.076312799999999,-1
-2.4990764,-7.0574144,-1
-3.5109415999999998,-6.681348799999999,-1
-2.5719407999999997,-5.9301904,-1
-3.0304005999999997,-7.2568496,-1
-4.4500496,-7.4789807999999995,-1
-3.5096936,-7.0373551999999995,-1
-2.8253132,-7.715937599999999,-1
-3.5850248,-7.7093191999999995,-1
-2.9468316,-6.8318704,-1
-4.0376411999999995,-7.994291199999999,-1
-1.2264842,-7.4030184,-1
-2.3938956,-9.144336,-1
-2.8621688,-8.162312,-1
-3.4696092,-7.5946944,-1
-3.937378,-5.226117599999999,-1
-0.9401352,-7.544174399999999,-1
-4.544398,-5.9672,-1
-0.9183956999999999,-8.1901984,-1
-1.4087398,-7.6127632,-1
-2.445814,-9.191108,-1
-2.5561894,-8.197361599999999,-1
-1.8516076,-8.3596088,-1
-4.7294624,-7.6219551999999995,-1
-2.1625815999999998,-8.6441752,-1
-2.650938,-6.4076916,-1
-2.8827316,-6.657223999999999,-1
-3.7653944,-9.482099999999999,-1
-1.9412904,-4.337790399999999,-1
-2.7348656,-8.5783352,-1
-2.9458376,-8.3904064,-1
-6.000849199999999,-9.6535488,-1
-2.184109,-6.4102644,-1
-4.2203376,-8.934461599999999,-1
-3.653146,-9.1588624,-1
-1.7010048,-8.0639672,-1
-2.8734006,-7.400717599999999,-1
-2.7393426,-7.391172,-1
-1.4063927999999999,-7.483960799999999,-1
-4.8742576,-10.2147168,-1
-1.5701231999999998,-7.191940799999999,-1
-2.5985224,-7.5689063999999995,-1
4.1639516,-6.5696604,-1
-1.6458393,-9.3656656,-1
-3.1207268,-7.1708343999999995,-1
-4.1294888,-6.2959895999999995,-1
-1.7810008,-8.3451072,-1
-2.3019148,-8.2486368,-1
-5.6584948,-6.390013199999999,-1
-2.9449574,-6.947747199999999,-1
-2.9208996,-7.1888448,-1
-1.2024662,-6.0708687999999995,-1
-4.0252544,-7.529719999999999,-1
-2.7582098,-7.1557008,-1
-2.1416589999999998,-7.963062399999999,-1
-3.261268,-9.1009088,-1
-0.9134363,-9.2840256,-1
-4.7163455999999995,-8.2366496,-1
-3.3760152,-8.0923248,-1
-0.8877237,-7.7892784,-1
-2.6136166,-7.1143728,-1
-3.1357778,-7.8822399999999995,-1
-0.9985273,-5.30145,-1
-0.8189247,-9.8239592,-1
-2.6717788,-8.003088,-1
-2.3895146,-6.4661624,-1
-4.6436144,-8.1197976,-1
-2.8685486,-9.2141296,-1
-0.8292857,-7.363267199999999,-1
-1.45441,-6.8374255999999995,-1
-2.7152428,-6.7599903999999995,-1
-2.9393488,-7.7875304,-1
-3.9017496,-5.2626935999999995,-1
-5.051768,-9.0051584,-1
-3.0203832,-8.6402048,-1
-2.2338464,-9.199776,-1
-2.9509317999999998,-5.1540968,-1
-1.7472238,-6.9774008,-1
-3.936952,-8.5292256,-1
-2.0132316,-7.458168,-1
-3.6378296,-8.5573344,-1
-3.9275088,-8.284056,-1
-4.4694916,-4.9827015999999995,-1
-2.841666,-7.066183199999999,-1
