DataR,DataI,y
-5.5444448,-16.512847999999998,-1
-5.5923104,-17.4095344,-1
-5.2495024,-19.914942399999997,-1
-5.093412799999999,-17.379168,-1
-5.9856712,-17.579409599999998,-1
-4.4416872,-15.592297599999998,-1
-5.5761128,-16.1758688,-1
-6.733559199999999,-18.118230399999998,-1
-6.4734875999999995,-17.8901184,-1
-5.8532931999999995,-19.2051904,-1
-3.9386327999999997,-16.2859072,-1
-6.9373504,-17.7728864,-1
-5.789697599999999,-17.4575472,-1
-7.7808224,-18.0745808,-1
-4.7804443999999995,-18.5361264,-1
-4.9721408,-18.113836799999998,-1
-7.5446912,-15.8737984,-1
-6.7972855999999995,-16.2575424,-1
-6.6362559999999995,-17.770111999999997,-1
-7.7131592,-21.4978512,-1
-8.158215199999999,-17.47112,-1
-5.5722612,-17.634385599999998,-1
-8.8703424,-20.2515616,-1
-7.8412976,-18.296087999999997,-1
-4.671418399999999,-17.8839728,-1
-4.1015128,-18.6730816,-1
-6.4572104,-17.2953088,-1
-4.3047312,-17.6237648,-1
-9.005924,-18.656187199999998,-1
-5.2227103999999995,-17.8570208,-1
-6.925814399999999,-18.0403552,-1
-4.354284,-18.5164848,-1
-6.6425279999999995,-18.306913599999998,-1
-8.639294399999999,-19.7786032,-1
-7.39256,-18.4468928,-1
-7.246378399999999,-17.2318544,-1
-4.6401487999999995,-18.7638304,-1
-4.0206276,-19.1165472,-1
-5.494712,-19.573639999999997,-1
-7.136313599999999,-14.9396816,-1
-7.499668,-17.9777664,-1
7.1495576,-17.829281599999998,-1
-6.634349599999999,-16.1597056,-1
-6.4891108,-18.562072,-1
-7.8104287999999995,-15.1455024,-1
-6.3327968,-16.384878399999998,-1
-7.867488,-21.9562512,-1
-5.74358,-18.0832576,-1
-4.8259408,-15.550472,-1
-6.518568,-17.720588799999998,-1
-8.8790456,-18.783056,-1
-4.7593651999999995,-19.1454928,-1
-8.8062776,-16.2808816,-1
-5.6886148,-19.131987199999998,-1
-8.05786,-17.60804,-1
-7.1258744,-17.8362128,-1
-6.530278399999999,-20.954822399999998,-1
-7.5376672,-20.639697599999998,-1
-6.0140384,-18.2759712,-1
-5.1593832,-18.502119999999998,-1
-6.3116976,-19.309505599999998,-1
-6.1193284,-19.119665599999998,-1
-8.208557599999999,-18.1044576,-1
-7.2226944,-17.2111008,-1
-8.114752,-18.474780799999998,-1
-6.0506904,-17.9553024,-1
-6.388753599999999,-16.2783232,-1
-6.6650192,-20.484905599999998,-1
-3.4146199999999998,-18.1046688,-1
-4.6457704,-16.880107199999998,-1
-7.2957344,-16.4768096,-1
-7.3121735999999995,-16.2891024,-1
-6.7689848,-19.864328,-1
-5.4703512,-20.221270399999998,-1
-4.7076024,-16.98272,-1
-6.039866399999999,-18.1898032,-1
-3.7364775999999997,-17.0619424,-1
-6.677251999999999,-17.8391152,-1
-7.745483999999999,-16.687036799999998,-1
-6.4361424,-17.2647136,-1
-5.7510856,-18.0385104,-1
-5.7582743999999995,-18.116411199999998,-1
-5.2860119999999995,-17.8708448,-1
-8.408473599999999,-17.9333104,-1
-5.9868448,-19.1521024,-1
-3.532368,-19.1129808,-1
-6.203644,-18.4684736,-1
-4.8527904,-17.7660672,-1
-7.4675952,-17.717996799999998,-1
-6.2991252,-15.402300799999999,-1
-8.284336,-16.67276,-1
-4.3387579999999994,-19.1554432,-1
-5.1325648,-18.5926112,-1
-3.2522417999999997,-19.0066704,-1
-8.406756,-18.9519984,-1
-5.108198,-20.3420688,-1
-5.2962824,-15.0637264,-1
-6.3946591999999995,-17.1371024,-1
-5.0329711999999995,-18.0395424,-1
-5.4721128,-17.8143664,-1
-6.5648624,-16.6508592,-1
-6.170383999999999,-15.0841344,-1
-3.4761848,-17.5942688,-1
-5.736038,-16.324766399999998,-1
-7.439578399999999,-18.8407744,-1
-4.9395596,-17.7695632,-1
-7.0950831999999995,-17.1975056,-1
-4.2125276,-18.1897152,-1
-7.4863272,-19.1847216,-1
-9.532116,-18.3768608,-1
-4.5608324,-19.0979088,-1
-5.438584,-17.601539199999998,-1
-7.5633168,-18.399268799999998,-1
-7.973692799999999,-18.0539424,-1
-4.1511376,-18.9712288,-1
-4.3375084,-20.218752,-1
-7.2080144,-16.2869328,-1
-6.723724799999999,-16.3271536,-1
-5.9603828,-16.37204,-1
-4.7007848,-18.8292544,-1
-4.4862848,-15.3885136,-1
-3.0299256,-18.240032,-1
-5.193503199999999,-17.45692,-1
-1.201789,-18.4836672,-1
-4.8748211999999995,-17.1468992,-1
-7.2942608,-17.617672,-1
-8.0757152,-21.6603504,-1
-6.300557599999999,-19.755544,-1
-8.6473344,-20.147696,-1
-2.9798828,-18.244224,-1
-7.0308176,-15.976267199999999,-1
-7.8489264,-15.879655999999999,-1
-4.5467232,-18.969894399999998,-1
-7.4146472,-18.3237856,-1
-5.4673304,-19.870870399999998,-1
-6.4948996,-18.838876799999998,-1
-5.175711199999999,-17.887639999999998,-1
-4.387518399999999,-16.3110784,-1
-6.5283836,-15.8618416,-1
-8.2166216,-18.5763216,-1
-5.417750799999999,-18.360867199999998,-1
-6.6127128,-15.907012799999999,-1
-7.6468864,-17.068431999999998,-1
-6.9810704,-17.694612799999998,-1
-6.327403599999999,-18.1075104,-1
-5.929307199999999,-17.122550399999998,-1
-7.6448192,-18.434566399999998,-1
-7.2786968,-18.3446288,-1
-5.793114,-17.8907488,-1
-4.8778508,-19.9496176,-1
-5.3694932,-17.726211199999998,-1
-3.2235848,-18.8884048,-1
-5.615404,-16.321911999999998,-1
-5.9543256,-17.475225599999998,-1
-6.5079424,-18.3521696,-1
-4.3117152,-17.807551999999998,-1
-5.1286076,-16.2132144,-1
-7.0675664,-17.2133856,-1
-4.167412,-17.5643472,-1
-4.9363128,-18.3363792,-1
-4.3213988,-18.734412799999998,-1
-5.9359236,-18.303696,-1
-5.1869344,-17.156588799999998,-1
-8.132788,-17.524936,-1
-8.006888,-16.670790399999998,-1
-7.660431999999999,-18.1304096,-1
-5.990208,-18.252432,-1
-5.0675159999999995,-19.7041824,-1
-6.7407984,-18.2414384,-1
-4.4487024,-18.68844,-1
-7.867684799999999,-20.113289599999998,-1
-9.0302504,-19.01804,-1
-6.6623164,-18.999163199999998,-1
-5.9330815999999995,-19.439528,-1
-5.8950536,-17.9586336,-1
-6.611265599999999,-17.8913936,-1
-6.158414,-20.3261552,-1
-7.3511368,-18.6112192,-1
-5.0041372,-18.5929648,-1
-6.7127023999999995,-21.012048,-1
-5.444675999999999,-18.7521696,-1
-5.9960236,-17.091177599999998,-1
-3.0826716,-15.995227199999999,-1
-6.0693888,-16.3241168,-1
-4.7709488,-17.9457584,-1
-7.7075264,-16.0366,-1
-8.8572512,-17.675694399999998,-1
-5.4357391999999995,-17.8624016,-1
-7.0322607999999995,-17.9377328,-1
-8.717401599999999,-17.426992,-1
-5.43921,-17.611153599999998,-1
-5.3641572,-17.3387904,-1
-9.406413599999999,-17.828745599999998,-1
-4.423324,-18.094824,-1
-5.2159724,-20.1005072,-1
-8.298332799999999,-19.570871999999998,-1
-5.4479792,-17.265348799999998,-1
-7.1128576,-16.756296,-1
-8.0895992,-18.6414048,-1
-4.3622992,-18.335900799999997,-1
-5.3950844,-19.6064,-1
-6.2375772,-17.464996799999998,-1
-5.659741599999999,-16.605856,-1
-7.6759552,-16.9513456,-1
-4.7382544,-19.9108928,-1
-6.6249376,-17.7021952,-1
-6.2365768,-19.067574399999998,-1
-7.3522544,-16.0529008,-1
-5.9877763999999996,-19.9148912,-1
-6.1687356,-17.117528,-1
-8.4519808,-19.8922448,-1
-7.9516592,-16.9707872,-1
