DataR,DataI,y
-5.3870531999999995,-17.094134399999998,-1
-8.1601272,-17.2770528,-1
-8.1679696,-18.6618976,-1
-5.638730799999999,-18.826561599999998,-1
-7.9009279999999995,-15.7710496,-1
-3.0360869999999998,-16.679206399999998,-1
-6.3616148,-17.6891824,-1
-5.7570176,-17.453879999999998,-1
-6.4254796,-18.518055999999998,-1
-3.7809223999999997,-18.6638768,-1
-6.027614799999999,-18.8603424,-1
-6.738352,-16.3555264,-1
-7.3566344,-17.917656,-1
-6.7881792,-17.3254592,-1
-8.703455199999999,-15.138551999999999,-1
-3.6845672,-17.9397776,-1
-5.2179804,-20.339648,-1
-5.905558,-18.660752,-1
-4.222944399999999,-18.008836799999997,-1
-6.489832799999999,-16.7085136,-1
-6.3585427999999995,-19.308744,-1
-4.2429543999999995,-18.370694399999998,-1
-6.571108,-19.527323199999998,-1
-7.62278,-17.134352,-1
-5.465893599999999,-16.9331344,-1
-5.867696,-18.2036352,-1
-7.6907776,-17.123176,-1
-6.358043599999999,-18.218307199999998,-1
-7.2033248,-17.2162832,-1
-5.0457224,-20.1702384,-1
-8.0746064,-18.2326128,-1
-7.478665599999999,-17.701344,-1
-5.9032816,-17.5112672,-1
10.4725784,-11.2948272,-1
-4.642916,-19.6775856,-1
-5.3916108,-18.139897599999998,-1
-8.1695008,-19.277700799999998,-1
-7.6908496,-16.5837984,-1
-7.2357536,-17.3720112,-1
-6.395046,-17.4805728,-1
-5.9950044,-17.31016,-1
-6.0217735999999995,-17.085292799999998,-1
-8.0420384,-17.2871472,-1
-4.346422,-17.84648,-1
-5.7812171999999995,-17.673759999999998,-1
-7.702027999999999,-18.4333504,-1
-8.916715199999999,-16.484803199999998,-1
-6.7232888,-16.1260752,-1
-4.2317092,-18.4024736,-1
-5.1042488,-20.1459872,-1
-6.6131112,-20.338576,-1
-4.8778808,-16.290848,-1
-5.1201495999999995,-16.2573728,-1
-6.941167999999999,-16.671350399999998,-1
-6.8167728,-18.1350384,-1
-7.5939727999999995,-17.5473568,-1
-6.643750799999999,-18.8910432,-1
-7.8030832,-16.778041599999998,-1
-6.5820191999999995,-18.880990399999998,-1
-5.3553755999999995,-19.0925552,-1
-6.2245168,-15.282744,-1
-6.909927199999999,-17.158079999999998,-1
-4.3485536,-16.857022399999998,-1
-5.8794704,-16.691643199999998,-1
-7.416562399999999,-14.952998399999998,-1
-7.0479616,-18.242544,-1
-7.45456,-16.805712,-1
-7.4205792,-16.0682528,-1
-5.9490168,-19.7811408,-1
-9.9645888,-19.161139199999997,-1
-5.0417344,-18.7135328,-1
-5.9506428,-16.421441599999998,-1
-5.8067712,-16.6157568,-1
-5.54976,-18.7214304,-1
-7.393712,-18.2459392,-1
-6.3143372,-17.120201599999998,-1
-4.7597832,-19.1353696,-1
-8.16882,-16.748481599999998,-1
-8.2661328,-19.207936,-1
-4.2526996,-18.8624768,-1
-8.0361016,-17.7728432,-1
-6.350547199999999,-16.4739888,-1
-7.6822208,-17.4637104,-1
-7.299413599999999,-18.9149696,-1
-6.2419904,-19.659100799999997,-1
-7.604343999999999,-19.8402992,-1
-4.0528672,-17.8451776,-1
-5.5781436,-18.6919152,-1
