DataR,DataI,y
-4.6523764,-8.0067272,-1
-5.458692,-5.8575976,-1
-5.9916196,-9.2003656,-1
-3.1300816,-7.3294888,-1
-3.0908286,-8.5132008,-1
-0.9795588,-7.953512,-1
-3.2192544,-7.6119008,-1
-5.8961812,-7.473741599999999,-1
-5.4540432,-11.3582448,-1
-4.7373936,-5.9952752,-1
-2.8913164,-7.0512792,-1
-4.9124744,-8.4430592,-1
-4.9463912,-7.57932,-1
-4.6814848,-9.850153599999999,-1
-3.5417604,-9.0656496,-1
-4.5365744,-8.0219576,-1
-5.7892231999999995,-8.096992,-1
-3.08391,-11.1336704,-1
-2.677515,-9.0226168,-1
-5.650337599999999,-10.7419072,-1
-3.9650724,-7.656093599999999,-1
-1.8543614,-8.182213599999999,-1
-5.286919999999999,-8.460483199999999,-1
-3.3750872,-8.9247824,-1
-5.130779599999999,-6.1602688,-1
-4.5432856,-5.7202728,-1
-2.8840524,-5.8306588,-1
-5.2897555999999994,-8.9707064,-1
-6.2524576,-9.1275648,-1
-4.2563416,-7.796676,-1
-2.1369084,-9.7106456,-1
1.0036131,-7.622831199999999,-1
-3.8373299999999997,-8.433619199999999,-1
4.4587344,-2.2413499999999997,-1
-3.6088256,-9.9297408,-1
-6.0639959999999995,-9.259140799999999,-1
-6.2308968,-7.789962399999999,-1
-3.2465248,-7.4739736,-1
-6.4158995999999995,-8.235373599999999,-1
-6.524912,-9.9555344,-1
-3.1514075999999998,-9.0957464,-1
-1.8025828,-9.8462296,-1
-4.3128516,-7.217283999999999,-1
-1.6530268,-9.0111312,-1
-3.5676531999999996,-8.47858,-1
-4.6707588,-8.1483568,-1
-3.9564416,-5.937666,-1
-4.2134632,-6.919776799999999,-1
-4.2798864,-9.6711952,-1
-6.0093432,-8.5044544,-1
-4.0209712,-8.3616104,-1
2.9505024,-8.256192,-1
-6.2496263999999995,-7.6918472,-1
-5.1887516,-10.126007999999999,-1
-3.7700791999999996,-9.25202,-1
-3.8521143999999996,-8.9726816,-1
-6.1461624,-8.8824464,-1
-4.1771128,-8.263585599999999,-1
-5.7645468,-9.009248,-1
-2.188836,-9.1113248,-1
-4.6322896,-7.9947408,-1
-4.3189508,-7.906125599999999,-1
-4.4169136,-6.8319008,-1
-3.6161832,-6.0225252,-1
-4.8892147999999995,-8.514127199999999,-1
-5.0868687999999995,-10.223576,-1
-5.7873936,-8.4969424,-1
-2.390018,-9.029275199999999,-1
-2.0719178,-8.9385656,-1
-5.4970951999999995,-9.5053384,-1
-2.3042604,-7.7197368,-1
-0.9937471,-6.600308399999999,-1
-6.770747999999999,-7.6584688,-1
-5.0669308,-7.942676799999999,-1
-2.5495588,-9.993411199999999,-1
-4.4609612,-9.1023,-1
-7.1332648,-8.745860799999999,-1
-3.4404572,-7.9854968,-1
-6.40724,-6.8308864,-1
-4.3074656,-8.788986399999999,-1
-2.2820834,-8.5101024,-1
