DataR,DataI,y
-2.9794104,-7.6457048,-1
-3.47228,-7.277328799999999,-1
-1.1429454,-8.574786399999999,-1
-2.2822603999999997,-6.5877783999999995,-1
-1.0298154,-8.7073968,-1
-1.1077628,-8.5394208,-1
-3.2671848,-9.2876168,-1
-2.9345266,-8.6995744,-1
-3.6328799999999997,-5.3027308,-1
-2.7203695999999997,-6.2708556,-1
-1.8988314,-6.042091999999999,-1
-3.7206196,-9.5853784,-1
-1.5340833999999999,-7.5787287999999995,-1
-3.5482359999999997,-8.1520168,-1
-3.570748,-6.509093999999999,-1
-3.6570348,-7.8679575999999996,-1
-2.6240305999999998,-8.2868304,-1
-3.8110168,-6.5369264,-1
-2.7340752,-8.295484,-1
-2.6450038,-8.4098288,-1
-1.7669473999999998,-4.5918012,-1
-3.1836308,-7.0237951999999995,-1
-1.2065185,-7.82982,-1
-2.6118148,-7.001503199999999,-1
-3.1111476,-6.1833936,-1
-1.9426784,-6.3614768,-1
-5.4897,-11.974128799999999,-1
-1.5032421,-8.2786016,-1
-3.5558696,-5.610164,-1
-2.0647496,-6.7761416,-1
-3.5468368,-9.382725599999999,-1
-3.5910295999999997,-8.6716832,-1
-2.5722476,-6.256612,-1
-1.5240407,-7.8256504,-1
-3.0083552,-8.4914816,-1
-0.8796537,-8.354028,-1
-5.579746399999999,-7.2235176,-1
-3.0893363999999996,-8.2331624,-1
-3.1237527999999997,-6.11043,-1
-2.8769432,-8.7489664,-1
-3.482554,-8.0654928,-1
-4.2316416,-7.038258399999999,-1
-1.5848144,-5.4080832,-1
-0.5757464,-7.494872,-1
-1.2543568999999999,-8.1528264,-1
-1.1279799,-5.815116,-1
-4.7105244,-8.623432,-1
-4.799197599999999,-6.8226135999999995,-1
-2.8095624,-6.8481008,-1
-1.0770636999999998,-6.5941431999999995,-1
-3.420746,-5.932194,-1
0.2604878,-5.8637584,-1
-3.3397056,-7.40354,-1
-2.8705612,-7.9220792,-1
-2.7566835999999997,-8.0757912,-1
-2.2014822,-7.4374096,-1
0.8992711999999999,-7.2905408,-1
-1.9244584,-7.5431928,-1
-1.4635316999999999,-7.932022399999999,-1
-4.268822,-7.3276927999999995,-1
-2.577381,-6.4536039999999995,-1
-4.3079328,-6.8796832,-1
-3.617038,-5.6506864,-1
-3.8173888,-8.3326552,-1
-2.7553984,-7.815547199999999,-1
-1.8108191999999999,-4.4789832,-1
-4.5859488,-7.3320495999999995,-1
-1.9146082,-8.625131999999999,-1
-3.0644324,-7.8405216,-1
-1.942434,-9.6824392,-1
-2.3359228,-4.374588,-1
-2.2734418,-6.1526556,-1
-3.2232588,-7.1794655999999994,-1
-1.8442192,-7.9654776,-1
-3.0212543999999997,-8.310076,-1
-3.6736307999999998,-7.5781312,-1
-3.6641968,-7.847580799999999,-1
-1.0647741,-7.328675199999999,-1
-2.5947172,-7.23354,-1
-3.1140312,-5.865568,-1
-2.2750372,-8.043358399999999,-1
-4.0416072,-5.5304912,-1
-3.61664,-7.0617712,-1
-2.1737417999999997,-9.0828592,-1
-2.2739987999999998,-7.619820799999999,-1
-3.6867896,-8.036315199999999,-1
-2.2380139999999997,-6.6734632,-1
-0.7142849,-7.124343199999999,-1
-2.1265996,-7.901604,-1
-1.9262264,-7.1175256,-1
-4.3917268,-6.1963072,-1
-1.690886,-8.4710888,-1
-3.3866471999999996,-7.8207016,-1
-3.8302479999999997,-6.6643836,-1
-5.915800399999999,-7.0681872,-1
-1.6548216999999998,-7.3019608,-1
-2.4755092,-7.6570864,-1
-3.8626007999999996,-9.0932248,-1
-4.8209224,-6.606884,-1
-2.2387037999999997,-8.3943208,-1
-2.2195662,-6.0296328,-1
-3.6970967999999997,-8.2933872,-1
-2.3896612,-4.848038,-1
-2.7226038,-5.529012,-1
-0.3285751,-6.3147687999999995,-1
-1.938828,-7.7861144,-1
-1.2720962999999998,-6.584078,-1
-1.9884444,-8.017939199999999,-1
-7.1519248,-8.1234088,-1
-4.799337599999999,-7.0967535999999996,-1
-3.982496,-6.0977184,-1
-1.29888,-7.7391863999999995,-1
-1.9372525999999999,-6.3553896,-1
-2.8051024,-8.3854904,-1
-1.1711221,-4.8572716,-1
0.4992543,-4.7710951999999995,-1
-3.5040299999999998,-8.994649599999999,-1
-0.930411,-7.590523999999999,-1
-3.4130792,-7.2126112,-1
-2.3195832,-6.5103168,-1
-4.3988052,-8.9935312,-1
-2.0500796,-7.03024,-1
-4.4844555999999995,-8.2118152,-1
-1.2702319,-10.034611199999999,-1
-3.5332456,-7.275059199999999,-1
-5.9165779999999994,-8.7834112,-1
-3.1960995999999997,-6.8566696,-1
-2.1315424,-8.0322304,-1
-3.3224624,-10.8582048,-1
-3.8029935999999998,-8.350990399999999,-1
-2.7821718,-9.6749216,-1
-1.0566216,-7.978043199999999,-1
-3.6276492,-7.4549952,-1
-3.6137656,-5.8783655999999995,-1
-3.3278022,-7.6492112,-1
-3.9134143999999997,-8.230971199999999,-1
-3.7639008,-9.26684,-1
-3.4715384,-8.1171664,-1
-2.8304161999999997,-6.476479599999999,-1
-3.8762876,-6.524354,-1
-4.399195199999999,-6.0206764,-1
-5.4085032,-7.4052168,-1
-2.9358763999999997,-7.3952599999999995,-1
-2.9412195999999997,-7.645207999999999,-1
-1.4188428,-6.549055999999999,-1
-0.7120373999999999,-6.472944,-1
