DataR,DataI,y
-3.0231846,-8.205545599999999,-1
-5.8485276,-7.0285264,-1
-3.7273364,-8.731457599999999,-1
-1.3131941,-9.0398032,-1
-3.4097648,-11.552672,-1
-3.6817224,-6.594621999999999,-1
-4.8984727999999995,-6.986555999999999,-1
-2.7643831999999997,-8.081647199999999,-1
-3.1255078,-8.4464384,-1
-5.4832844,-9.422167199999999,-1
-6.6872824,-8.667043999999999,-1
-6.49154,-8.6674496,-1
-6.0351972,-9.1230384,-1
-3.4155708,-6.5260172,-1
-2.1905981999999997,-6.363519999999999,-1
-4.3470056,-6.9306583999999996,-1
-2.7425576,-7.8722968,-1
-4.2240123999999994,-7.3461359999999996,-1
-5.9867148,-7.954219999999999,-1
-2.0550672,-7.143724799999999,-1
-4.7444204,-7.2733976,-1
-4.483706,-7.4128728,-1
-3.4949711999999997,-9.595044,-1
-2.597914,-9.0775256,-1
-3.2695022,-8.6693416,-1
-6.1945407999999995,-8.2494584,-1
-4.2750324,-9.776609599999999,-1
-3.075475,-6.075757599999999,-1
-5.7939992,-8.6832768,-1
-4.9941648,-10.2254984,-1
-4.1043664,-9.1638136,-1
-3.7048728,-9.3020296,-1
-2.59548,-7.8954623999999995,-1
-3.5248459999999997,-9.3394896,-1
-5.1195992,-4.6194828,-1
-4.9876575999999995,-7.3553184,-1
-4.8375452,-7.3809384,-1
-3.1133648,-10.3423632,-1
-4.9351112,-9.0121368,-1
-5.2309576,-7.9275712,-1
-3.5387508,-7.316344,-1
-4.782398,-8.7139896,-1
-3.9796264,-10.332372,-1
-3.2064252,-8.0511216,-1
-4.540617999999999,-8.172388,-1
-4.9069936,-9.031704,-1
-6.1772864,-11.341287999999999,-1
-4.612607199999999,-8.9247792,-1
-4.2998655999999995,-8.277312,-1
-5.1102444,-9.206044799999999,-1
-4.1938775999999995,-8.8127736,-1
-3.9832151999999996,-10.814484799999999,-1
-5.0250356,-10.6292896,-1
-4.4504372,-6.9834928,-1
-5.3667983999999995,-9.152358399999999,-1
-6.1662175999999995,-10.650024,-1
-3.1902928,-8.513448,-1
-3.7059688,-9.6584304,-1
-2.7393492,-8.5036936,-1
-5.0642656,-9.735543999999999,-1
-3.8545879999999997,-6.6461651999999996,-1
-4.992094799999999,-7.841063999999999,-1
-7.5251104,-7.5341584,-1
-6.310522799999999,-9.9533848,-1
