DataR,DataI,y
-8.662045599999999,-20.5478976,-1
-10.6348384,-20.1743104,-1
-8.546854399999999,-18.581136,-1
-4.9136476,-18.5765568,-1
-10.024811999999999,-21.0442784,-1
-8.813769599999999,-17.8433936,-1
-8.0473296,-20.8627856,-1
-8.3244656,-16.5003024,-1
-6.651545199999999,-21.7707168,-1
-5.9402436,-19.4559216,-1
-4.9820576,-19.9578192,-1
-8.8155056,-19.4969008,-1
-8.3394544,-21.8608032,-1
-5.7097096,-17.9215952,-1
-8.5027264,-21.2003408,-1
-3.4600472,-18.8226944,-1
-4.6034996,-18.495152,-1
-6.7283664,-22.8534608,-1
-8.3622136,-20.786108799999997,-1
-5.6155776,-17.7192992,-1
-6.8472824,-18.418502399999998,-1
-8.286807999999999,-15.922185599999999,-1
-6.3548576,-20.8496816,-1
-4.9201999999999995,-20.9669456,-1
-5.119349199999999,-16.8223728,-1
-4.102898,-15.028313599999999,-1
-5.041182,-20.3678848,-1
-2.9829792,-23.0556608,-1
-4.4574752,-19.2610432,-1
-7.7316968,-18.6806496,-1
-6.0391379999999995,-16.8168784,-1
-7.8771976,-19.0945456,-1
-4.5957516,-18.5745632,-1
-4.3293424,-18.624344,-1
-5.4341992,-19.083875199999998,-1
-6.5705228,-19.903278399999998,-1
-4.1219627999999995,-16.9949712,-1
-7.029964,-16.185278399999998,-1
-10.9896736,-16.6864544,-1
-7.7608064,-19.6048208,-1
-4.9907227999999995,-19.7922208,-1
-10.1495944,-19.97664,-1
-7.3530375999999995,-16.847371199999998,-1
-7.9905463999999995,-24.292959999999997,-1
-11.853463999999999,-20.2554592,-1
-3.2179308,-21.117494399999998,-1
-8.044292,-20.306032,-1
-9.5858352,-20.3263952,-1
-11.4940304,-20.8460304,-1
-10.4082568,-19.7320544,-1
-8.1493808,-20.7746112,-1
-7.4538367999999995,-18.913793599999998,-1
-5.3752252,-16.689044799999998,-1
-9.8030112,-19.1423424,-1
-3.8485815999999997,-18.4617024,-1
-10.6645456,-19.690729599999997,-1
-8.151088,-17.7613696,-1
-7.9301167999999995,-17.00256,-1
-8.0459528,-16.741003199999998,-1
-5.4754688,-17.771632,-1
-6.4193944,-20.3602208,-1
-6.9135944,-18.6958336,-1
-8.353591999999999,-20.5609648,-1
-4.9591372,-14.7714064,-1
-6.769684799999999,-18.7163136,-1
-10.2833208,-21.9551072,-1
-5.9314735999999995,-19.693144,-1
-3.1831544,-18.3767376,-1
-9.210854399999999,-19.3178992,-1
-8.3056944,-18.449272,-1
-6.7965912,-17.2614528,-1
-6.0466212,-18.865571199999998,-1
-8.5393648,-15.1921088,-1
