DataR,DataI,y
-6.6337779999999995,-12.8481872,-1
-7.7770415999999996,-10.8646192,-1
-7.8510088,-10.866684,-1
-7.351036,-13.587545599999999,-1
-8.3421072,-13.971299199999999,-1
-6.5232312,-16.2368176,-1
-4.130236,-13.2926712,-1
-6.730859199999999,-14.726084799999999,-1
-7.0654183999999995,-14.636552,-1
-4.0185312,-15.547465599999999,-1
-5.6806996,-13.5165888,-1
-2.9477702,-12.646553599999999,-1
-6.755473599999999,-15.260095999999999,-1
-6.862036,-14.992248,-1
-6.9570336,-13.933676799999999,-1
-5.8247672,-15.376844799999999,-1
-6.834168,-13.827046399999999,-1
-4.7537199999999995,-16.645489599999998,-1
-5.84004,-15.929967999999999,-1
-6.8392152,-12.619612799999999,-1
-3.8606195999999997,-13.7732896,-1
-5.491509199999999,-13.6731968,-1
-5.4906424,-13.8150512,-1
-6.7274816,-14.668014399999999,-1
-5.9495844,-13.6815424,-1
-6.717591199999999,-12.6168096,-1
-2.778667,-13.5829376,-1
-4.784184799999999,-13.623348799999999,-1
-6.053642,-12.729016,-1
-6.4305579999999996,-13.6658736,-1
-6.147518,-13.650809599999999,-1
-5.3290616,-12.290845599999999,-1
-5.5527071999999995,-12.467908,-1
-5.1870736,-17.212715199999998,-1
-6.6179456,-13.6162368,-1
-6.081313199999999,-14.4663984,-1
-6.414075599999999,-16.0529984,-1
-7.596943199999999,-15.058784,-1
-9.9705856,-18.2072912,-1
-7.2569064,-11.5984912,-1
-4.5792307999999995,-13.1093128,-1
-7.1487,-11.33772,-1
-5.6703936,-15.067736,-1
-5.614044799999999,-11.805905599999999,-1
-4.7395971999999995,-15.683062399999999,-1
-6.689736,-13.3985328,-1
-5.2035936,-15.272593599999999,-1
-8.3662376,-11.945587999999999,-1
-2.7726908,-13.4130776,-1
-4.8765944,-16.8600064,-1
-6.6523064,-11.924372,-1
-2.9941348,-11.120384,-1
-7.8814576,-12.528875999999999,-1
-5.9671676,-13.900897599999999,-1
-4.9615583999999995,-13.45248,-1
-5.1178908,-16.622617599999998,-1
-6.984083999999999,-12.657304,-1
-9.7526928,-11.8317976,-1
-5.6212424,-10.9777104,-1
-5.6081351999999995,-14.1579216,-1
-5.2478744,-14.202420799999999,-1
-7.178287999999999,-14.7365968,-1
-4.1168004,-14.5253152,-1
-3.3178164,-14.5393136,-1
-5.1755984,-11.5134224,-1
-10.203272799999999,-14.001503999999999,-1
-4.606755199999999,-11.813495999999999,-1
-5.2797272,-13.122472,-1
-2.9341464,-15.5124096,-1
-4.8539524,-16.8878928,-1
-5.1140424,-16.246336,-1
-7.755517599999999,-11.658652,-1
-4.6605284,-12.9731496,-1
-6.2857756,-14.724991999999999,-1
-2.901325,-12.3715,-1
-5.5216932,-13.0925272,-1
-5.6558512,-15.266691199999999,-1
-5.4134372,-14.611856,-1
-5.9076692,-11.065650399999999,-1
-5.644731999999999,-14.7847952,-1
-7.7960248,-15.0896896,-1
-4.4653532,-11.2269192,-1
-5.3709888,-11.8123016,-1
-4.1354328,-12.2427288,-1
-7.5822736,-18.222846399999998,-1
-5.8827967999999995,-12.0689168,-1
-4.3129028,-13.333724799999999,-1
-6.882761599999999,-13.6878064,-1
-6.8695791999999996,-13.7869168,-1
-6.437157999999999,-15.2360048,-1
-7.825139999999999,-13.3489104,-1
-5.9577636,-14.0576688,-1
-5.0543984,-14.2753392,-1
-5.1946959999999995,-13.514436799999999,-1
-6.136715199999999,-13.270202399999999,-1
-4.5376272,-15.3911872,-1
-3.6856951999999996,-11.002906399999999,-1
-4.9576072,-13.610750399999999,-1
-6.273352,-13.166084,-1
-5.0083404,-16.6733168,-1
-4.6206936,-12.8323392,-1
-6.32634,-13.6710336,-1
-5.844524799999999,-14.6020848,-1
-6.720201599999999,-13.0321848,-1
-4.33244,-12.902759999999999,-1
-4.5152816,-10.6068832,-1
-6.0329312,-12.9645096,-1
-5.9429264,-16.4626816,-1
-5.0489624,-12.907064,-1
-6.336303999999999,-14.4163584,-1
-2.9953407999999997,-12.992839199999999,-1
-1.8626939999999998,-10.6139464,-1
-6.0419456,-14.7941088,-1
-7.5766919999999995,-12.9330824,-1
-2.3265648,-14.6994096,-1
-6.0914908,-13.6076544,-1
-6.3237608,-14.2960736,-1
-4.7959688,-9.5909768,-1
-4.9417368,-12.013162399999999,-1
-6.5748052,-14.606673599999999,-1
-5.6171416,-12.8791896,-1
-6.739888,-15.716915199999999,-1
-6.750485599999999,-13.944483199999999,-1
-5.5090904,-12.5578296,-1
-4.556038,-14.4671168,-1
-6.6961476,-12.125688799999999,-1
-6.4205216,-12.749258399999999,-1
-5.7512136,-12.0896824,-1
-6.767719199999999,-10.4379872,-1
-7.8872328,-12.8261664,-1
-5.0018519999999995,-13.2959584,-1
-3.9662756,-14.869008,-1
-4.4711728,-14.9515424,-1
-5.935134,-13.381831199999999,-1
-4.164592,-13.0713552,-1
-3.7050503999999997,-12.984770399999999,-1
-6.5458848,-11.806358399999999,-1
-4.6772111999999995,-16.8173392,-1
-9.764859999999999,-12.626536,-1
-7.0501352,-12.0644192,-1
-5.2348576,-14.8336464,-1
-6.0653688,-11.470577599999999,-1
-4.9891388,-13.7627904,-1
-6.3454748,-13.7409888,-1
-6.4027156,-14.2692208,-1
-2.7091472,-15.5413312,-1
-4.0142156,-13.0875544,-1
-8.5052296,-12.9423856,-1
-6.2114063999999996,-14.7362928,-1
-6.0661116,-12.889346399999999,-1
-6.8495072,-12.3483272,-1
-5.86482,-15.7404064,-1
-9.0916248,-12.809588,-1
-7.9225959999999995,-13.4985216,-1
-1.8857372,-12.225475999999999,-1
-5.468401999999999,-14.555335999999999,-1
-4.3440004,-15.885716799999999,-1
-6.3830447999999995,-12.3035192,-1
-4.3263124,-11.724748799999999,-1
-3.2132815999999997,-14.719183999999998,-1
-8.4101312,-14.223476799999998,-1
